"Discipline Name","programmes"
"Computer Science and Engineering","B.Tech CSE"
"Computer Science and Engineering","Phd in CSE"
"Computer Science and Engineering","M.Tech CSE"
"Electronics and Communication Engineering","M.Tech ECE"
"Electronics and Communication Engineering","B.Tech ECE"
"Electronics and Communication Engineering","Phd in ECE"
"Mechanical Engineering","B.Tech ME"
"Mechanical Engineering","M.Tech ME"
"Mechanical Engineering","Phd in ME"
"Design","M.Des Design"
"Design","B.Design"
"Design","PhD in Design"
"Smart Manufacturing","M.Tech SM"
"Smart Manufacturing","B.Tech SM"
"Mechatronics","M. Tech Mechatronics"
"Natural Sciences-Mathematics","PhD in Maths"
"Natural Sciences-Physics","PhD in Physics"
"Humanities - English","PhD in English"
