"name","version","batch","no_of_semester"
"CSE PG Curriculum",1,"M.Tech CSE 2020",4
"CSE PG Curriculum",1,"M.Tech CSE 2021",4
"CSE Phd Curriculum",1,"Phd in CSE 2016",4
"CSE Phd Curriculum",1,"Phd in CSE 2017",4
"CSE Phd Curriculum",1,"Phd in CSE 2018",4
"CSE Phd Curriculum",1,"Phd in CSE 2019",4
"CSE Phd Curriculum",1,"Phd in CSE 2020",4
"CSE Phd Curriculum",1,"Phd in CSE 2021",4
"CSE Phd Curriculum",1,"Phd in CSE 2022",4
"CSE UG Curriculum",1,"B.Tech CSE 2016",8
"CSE UG Curriculum",1,"B.Tech CSE 2017",8
"CSE UG Curriculum",1,"B.Tech CSE 2018",8
"CSE UG Curriculum",1,"B.Tech CSE 2019",8
"CSE UG Curriculum",1,"B.Tech CSE 2020",8
"CSE UG Curriculum",1,"B.Tech CSE 2021",8
"Design PG Curriculum",1,"M.Des Design. 2020",4
"Design PG Curriculum",1,"M.Des Design. 2021",4
"Design UG Curriculum",1,"B.Design. 2018",8
"Design UG Curriculum",1,"B.Design. 2019",8
"Design UG Curriculum",1,"B.Design. 2020",8
"Design UG Curriculum",1,"B.Design. 2021",8
"ECE PG Curriculum",1,"M.Tech ECE 2020",4
"ECE PG Curriculum",1,"M.Tech ECE 2021",4
"ECE Phd Curriculum",1,"Phd in ECE 2016",4
"ECE Phd Curriculum",1,"Phd in ECE 2017",4
"ECE Phd Curriculum",1,"Phd in ECE 2018",4
"ECE Phd Curriculum",1,"Phd in ECE 2019",4
"ECE Phd Curriculum",1,"Phd in ECE 2020",4
"ECE Phd Curriculum",1,"Phd in ECE 2021",4
"ECE UG Curriculum",1,"B.Tech ECE 2016",8
"ECE UG Curriculum",1,"B.Tech ECE 2017",8
"ECE UG Curriculum",1,"B.Tech ECE 2018",8
"ECE UG Curriculum",1,"B.Tech ECE 2019",8
"ECE UG Curriculum",1,"B.Tech ECE 2020",8
"ECE UG Curriculum",1,"B.Tech ECE 2021",8
"ECE UG Curriculum",1,"Phd in ECE 2022",8
"ME PG Curriculum",1,"M.Tech ME 2020",4
"ME PG Curriculum",1,"M.Tech ME 2021",4
"ME Phd Curriculum",1,"Phd in ME 2016",4
"ME Phd Curriculum",1,"Phd in ME 2017",4
"ME Phd Curriculum",1,"Phd in ME 2018",4
"ME Phd Curriculum",1,"Phd in ME 2019",4
"ME Phd Curriculum",1,"Phd in ME 2020",4
"ME Phd Curriculum",1,"Phd in ME 2021",4
"ME Phd Curriculum",1,"Phd in ME 2022",4
"ME UG Curriculum",1,"B.Tech ME 2016",8
"ME UG Curriculum",1,"B.Tech ME 2017",8
"ME UG Curriculum",1,"B.Tech ME 2018",8
"ME UG Curriculum",1,"B.Tech ME 2019",8
"ME UG Curriculum",1,"B.Tech ME 2020",8
"ME UG Curriculum",1,"B.Tech ME 2021",8
"PG Mechatronics Curriculum v1",1,"M. Tech Mechatronics 2020",4
"PG Mechatronics Curriculum v1",1,"M. Tech Mechatronics 2021",4
"PhD in Design",1,"PhD in Design 2016",4
"PhD in Design",1,"PhD in Design 2017",4
"PhD in Design",1,"PhD in Design 2018",4
"PhD in Design",1,"PhD in Design 2019",4
"PhD in Design",1,"PhD in Design 2020",4
"PhD in Design",1,"PhD in Design 2021",4
"PhD in Humanities (English)",1,"PhD in English 2016",4
"PhD in Humanities (English)",1,"PhD in English 2017",4
"PhD in Humanities (English)",1,"Phd in English 2018",4
"PhD in Humanities (English)",1,"PhD in English 2019",4
"PhD in Humanities (English)",1,"PhD in English 2020",4
"PhD in Humanities (English)",1,"PhD in English 2021",4
"PhD in Natural Sciences (Physics)",1,"PhD in Physics 2016",4
"PhD in Natural Sciences (Physics)",1,"PhD in Physics 2017",4
"PhD in Natural Sciences (Physics)",1,"PhD in Physics 2019",4
"PhD in Natural Sciences (Physics)",1,"PhD in Physics 2020",4
"PhD in Natural Sciences (Physics)",1,"PhD in Physics 2021",4
"PhD Natural Sciences (Maths) Curriculum",1,"PhD in Maths 2016",4
"PhD Natural Sciences (Maths) Curriculum",1,"PhD in Maths 2017",4
"PhD Natural Sciences (Maths) Curriculum",1,"PhD in Maths 2018",4
"PhD Natural Sciences (Maths) Curriculum",1,"PhD in Maths 2019",4
"PhD Natural Sciences (Maths) Curriculum",1,"PhD in Maths 2020",4
"PhD Natural Sciences (Maths) Curriculum",1,"PhD in Maths 2021",4
"SM UG Curriculum",1,"B.Tech SM 2020",1
"SM UG Curriculum",1,"B.Tech SM 2021",1
